Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
2007,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.06
2008,0.51,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.49
2009,0.37,0.62,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20
2010,0.41,0.69,1.09,0.55,#VALUE!,NaN,NaN,NaN,NaN,NaN,3.99
2011,0.36,0.63,0.80,0.94,0.39,NaN,NaN,NaN,NaN,NaN,3.89
2012,0.22,0.40,0.59,0.73,1.14,0.81,NaN,NaN,NaN,NaN,4.22
2013,0.26,0.43,0.55,0.59,0.87,1.27,0.64,NaN,NaN,NaN,3.52
2014,0.24,0.28,0.42,0.58,0.74,0.99,1.49,-0.33,NaN,NaN,0.61
2015,0.22,0.29,0.39,0.46,0.62,0.92,1.08,0.76,-0.39,NaN,-0.08
2016,0.01,0.09,0.09,0.14,0.13,0.22,0.30,0.17,0.30,-0.85,-0.85
