STATE_NAME,Facilities,Pop per Facility
Alaska,18,269409.8333
Alabama,97,7605.484536
Arkansas,103,65354.21359
Arizona,41,73026.31707
California,728,53300.13736
Colorado,119,45007.19328
Connecticut,58,62011.67241
District of Columbia,2,329446.5
Delaware,25,37424.56
Florida,371,53620.74663
Georgia,247,40879.93117
Hawaii,45,31545.8
Iowa,175,9339.794286
Idaho,37,348123.7838
Illinois,371,17781.28032
Indiana,88,35308.25
Kansas,69,42087.26087
Kentucky,120,36778.80833
Louisiana,53,87729.73585
Massachusetts,105,12667.51429
Maryland,84,71147.70238
Maine,24,281058.6667
Michigan,182,54449.87363
Minnesota,187,29182.74332
Missouri,153,19509.32026
Mississippi,64,94743.57813
Montana,24,42649.125
North Carolina,224,8399.566964
North Dakota,22,129049.9545
Nebraska,114,11638.71053
New Hampshire,16,558635.9375
New Jersey,277,7529.140794
New Mexico,30,658207.5667
Nevada,32,310748.875
New York,344,2149.656977
Ohio,199,58262.12563
Oklahoma,65,59662.32308
Oregon,96,41356.65625
Pennsylvania,385,33213.52987
Rhode Island,30,35172.43333
South Carolina,58,83318.65517
South Dakota,24,35548.95833
Tennessee,121,54126.87603
Texas,463,58222.37149
Utah,75,39238.69333
Virginia,114,5491.324561
Vermont,26,320241.8846
Washington,151,46765.09934
Wisconsin,197,9392.517766
West Virginia,23,250328.8696
Wyoming,1,584153
